"url","name","location","rating","review"
"http://www.ulta.com/ultimate-all-in-one-mascara?productId=xlsImpprod13361769","Amy h","Dallas, TX",5,"I have allergies and while I try not to rub my eyes, I have issues with my mascara smudging (even smudge-proof ones). I've been using this mascara for over a year with no issues! It's not the best lengthening or volumizing mascara, but it does a good job without going everywhere."
"http://www.ulta.com/ultimate-all-in-one-mascara?productId=xlsImpprod13361769","E","Fort Worth, TX",4,"I love that this is an all in one. Dislike that it often clumps when applying and I have to separate the lashes."
"http://www.ulta.com/ultimate-all-in-one-mascara?productId=xlsImpprod13361769","Katherine","Westchester New York",5,"I never ever review products but I felt as if I needed to review this mascara especially after seeing the bad reviews! My eyelashes are the most important part of my makeup routine and this is my favorite mascara I've used. My eyelashes look amazing!"
"http://www.ulta.com/ultimate-all-in-one-mascara?productId=xlsImpprod13361769","Jen","Houston",1,"This product is horrible. The product does lengthen lashes, but your lashes get clumped and it looks fake. The mascara makes your lashes feel stiff, like they will break any second. The bristle is small and doesn't work. Overall, I would not buy again."
"http://www.ulta.com/ultimate-all-in-one-mascara?productId=xlsImpprod13361769","Kathy","Chicago, IL",1,"I truly believe that Revlon cannot make a good mascara.  Forget this one.  It looks like you have no mascara on, you cannot layer it, it doesn't volumnize or lengthen.  A waste of money."
"http://www.ulta.com/ultimate-all-in-one-mascara?productId=xlsImpprod13361769","Ari","Canton mi",4,"It's a great product"
"http://www.ulta.com/ultimate-all-in-one-mascara?productId=xlsImpprod13361769","Ang","Plainfield",5,"Its great"
"http://www.ulta.com/ultimate-all-in-one-mascara?productId=xlsImpprod13361769","Lanie","Birmingham, AL",4,"So I gave this a bad review a while back, and I have come to a drastic change of opinion. Back in the day, the brush had a raisin-shape, oval and flat at the same time, with a reservoir to hold/distribute product. A good idea, but the logistics didn't work, for me anyhow. So I found some in another retailer, and bought one for my daughter and she popped it open and immediately noticed the brush. See, she was in the last episode of Me and My Mascara, and she had the same issues. Well now the brush is kinda football-shaped and it works exponentially better as I have Short-Sparse Syndrome. I am now in love and let Revlon know it. This is good!"
"http://www.ulta.com/ultimate-all-in-one-mascara?productId=xlsImpprod13361769","TS_92","Kutztown, PA",1,"I wanted to like this product. I thought that if I used it enough, I'd warm up to it. It may be the worst mascara I have ever used. The brush doesn't separate your lashes. It's like applying mascara using your fingers &ndash; the brush just has absolutely no grip because the bristles (which also break off) are so small. The formula is also a strange consistency of goopy and runny. Don't buy this."
"http://www.ulta.com/ultimate-all-in-one-mascara?productId=xlsImpprod13361769","RLB","Atlanta",4,"Love the small brush/wand. I use one by MAC that has the same type of brush/wand. Glad to find this one at a better price."
