"url","name","location","rating","review"
"http://www.ulta.com/liquid-eyeliner?productId=VP10746","Ellie","Long Beach, CA",2,"I wear a substantial amount of makeup everyday. The whole shebang. I tried the sister eyeliner with the SKINNY applicator which I was actually looking for in store but it was out of stock, so I decided to go with this. I don't know why but I feel like the formula is different. This one isn't as pigmented as I would like, putting it over my eyeshadow is a two layer job and even then it looks watered down. It also bleeds so I ended up with larger wings than anticipated, when I finally got a perfect line I looked like I was going for an Amy Winehouse impersonation. Luckily my style is crazy so it works, but for a simple line for daily wear, I would not recommend this product."
"http://www.ulta.com/liquid-eyeliner?productId=VP10746","Moe","Greeley CO",5,"Love it!"
"http://www.ulta.com/liquid-eyeliner?productId=VP10746","Amy","LA, CA",5,"This is my go to eyeliner when I can't afford to shell out the big bucks for &quot;designer&quot; eyeliner. I have probably been using it for the past 10 years. Very easy to use and doesn't fade. Highly recommended for anyone looking for good quality for a reasonable price."
"http://www.ulta.com/liquid-eyeliner?productId=VP10746","Chris","Missouri",4,"Love this for a thin line to define the eyeline. As it's got a skinny applicator, adding a thinker line takes practice to avoid smudging or uneven line"
"http://www.ulta.com/liquid-eyeliner?productId=VP10746","Ash","Il",5,"Perfect lines, easy application. Doesn't smudge and stays on. Perfect cat eyes everytime. I have been looking for a new liquid liner but have not found a new one to replace the one I loved that they discontinued, until now!!"
"http://www.ulta.com/liquid-eyeliner?productId=VP10746","Dani","Littleton, CO",5,"I use this eyeliner for winged and cat eyes. I've used various liquid eyeliner including brands such and urban decay and tarte. I love tarte. It's my favorite make up line but none of these brands compare to this eyeliner. I use this eyeliner every day and it usually lasts me about 2 months which isn't bad. The best thing about it in my opinion is the applicator. I do not like the loose brush liquid liners. This one is like a little beauty blender sponge. It's amazing and it seriously is the best for winged liner. If your go to look is winged or cat liner this is the liner for you!"
"http://www.ulta.com/liquid-eyeliner?productId=VP10746","Tbanks1012","La Crosse, WI",4,"This product has a very self explanatory application process. Just be sure to wipe off or dab off excess liquid before application to avoid uneven lines"
"http://www.ulta.com/liquid-eyeliner?productId=VP10746","Gingerkitten","Fort Wayne, IN",5,"The felt tip is the best feature. It's flexible so you can get exactly the right angle you want! I've been using this liquid eyeliner for years. It's never disappointed me. And the best part is that it's cheap!"
"http://www.ulta.com/liquid-eyeliner?productId=VP10746","Lindy","Henderson, NV",1,"Its hard to apply additional coats to make it darker because it seems watery."
"http://www.ulta.com/liquid-eyeliner?productId=VP10746","Neenerlopez","Oregon",5,"Goes on easy!"
"http://www.ulta.com/liquid-eyeliner?productId=VP10746","trendy gal","Carlsbad CA",4,"I liked this a lot i have tried to use other brands and I absolutely hate them they're not bold enough and they run."
"http://www.ulta.com/liquid-eyeliner?productId=VP10746","Sall2032","Nashville, TN",4,"This eyeliner has a more stiff brush than I am used to, but overall it goes on pretty easily and stays there all day. It comes off easily and looks pretty good on. :)"
"http://www.ulta.com/liquid-eyeliner?productId=VP10746","Photojen","San Jose,CA",5,"The revlon liner works great! You get nice even bold color and super easy to apply a thin or thick line. I've tried tons of liquid liners and this is by far the best!"
